Date,Open,High,Low,Close,Volume,Currency,Trend,VolumeTrend,AAL,AAPL,AMT,AVY,AWK,BA,BAC,CCL,CNP,EQR,F,FOX,HFC,JNJ,MSFT,NFLX,PFE,PKG,PM,S&P500,WFC,WMT,XOM
2020-05-11,18.39,18.49,17.83,18.18,9988045,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,17.94,18.26,17.79,17.79,16858156,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,17.6,17.6,16.64,16.9,8421617,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,16.51,17.32,16.39,17.28,14667834,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,17.06,17.22,16.57,16.8,13774155,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,17.7,17.9,17.4,17.49,12625821,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,17.31,17.4,16.9,17.04,7583402,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,17.13,17.29,16.86,16.92,8979023,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,16.91,17.14,16.7,16.76,6678326,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,16.78,16.97,16.72,16.92,6535276,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,17.56,17.82,17.42,17.49,9083965,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
